,ID,Country of Origin,Farm Name,Lot Number,Mill,ICO Number,Company,Altitude,Region,Producer,Number of Bags,Bag Weight,In-Country Partner,Harvest Year,Grading Date,Owner,Variety,Status,Processing Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Overall,Defects,Total Cup Points,Moisture Percentage,Category One Defects,Quakers,Color,Category Two Defects,Expiration,Certification Body,Certification Address,Certification Contact
10,10,Ethiopia,TADE GG,010/0296/600,Moledo社　委託精選場,010/0296/600,"Marubeni corp.,",1800-2200,Guji,Tesfaye Bekele Degaga,10,30 kg,Japan Coffee Exchange,2021 / 2022,"May 31st, 2022",ERI ASAEDA,Ethiopian Heirlooms,Completed,Natural / Dry,8.08,8.25,8,8.08,7.92,7.92,10,10,10,8,0,86.25,11.8,0,1,greenish,1,"May 31st, 2023",Japan Coffee Exchange,"〒413-0002 静岡県熱海市伊豆山１１７３−５８ 1173-58 Izusan, Atami, Shizuoka, 413-0002 JAPAN",松澤　宏樹　Koju Matsuzawa - +81(0)9085642901
11,11,Guatemala,Karen Acajabon Coffee Farm,"The 2022 Pacific Rim Coffee Summit,GT12",Cafetoland,,Taiwan Coffee Laboratory,2000,Acatenango,Karen Acajabon,5,15 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021,"November 15th, 2022",Full Sweet Coffee,Gesha,Completed,Natural / Dry,8.08,8,8,7.75,8.25,8.17,10,10,10,8,0,86.25,11.5,0,0,brownish,1,"November 15th, 2023",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
12,12,Taiwan,古峰咖啡莊園 Goodfun Coffee Farm,"The 2022 Pacific Rim Coffee Summit,T051",古峰咖啡莊園,,Taiwan Coffee Laboratory,1250,Yunlin,賴彥合,1,60 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"November 15th, 2022",Goodfun,Gesha,Completed,Washed / Wet,8.08,8,8.08,8.08,8,8,10,10,10,8,0,86.25,11.9,0,0,green,0,"November 15th, 2023",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
13,13,Ethiopia,Gelana Geisha,"Grade 1, Guji, Natural, Gelana Geisha",Dry Mill or Hulling Facility,010/0475/0207,Kerchanshe Trading PLC,1900-2000,Guji,Kerchanshe,40,60 kg,METAD Agricultural Development plc,2021 / 2022,"August 26th, 2022",Isreal Degefa,Gesha,Completed,Natural / Dry,7.67,8.17,8,8.33,8,8,10,10,10,8,0,86.17,11.6,0,3,yellow- green,2,"August 26th, 2023",METAD Agricultural Development plc,"BAWA Center, 3rd Floor (Gerji), Addis Ababa, Ethiopia","Aman Adinew (Emebet Dinku) - +251-116-292534, +251-911-519196"
14,14,Colombia,La Gaitania,"The 2022 Pacific Rim Coffee Summit,CO03",La Gaitania,,Taiwan Coffee Laboratory,1850,tolima,Josue Enciso Suarez,70,35 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"November 15th, 2022",PeiHsun Lin,Caturra,Completed,Washed / Wet,8.08,8,8.08,7.92,8.08,8,10,10,10,8,0,86.17,10.6,0,0,green,0,"November 15th, 2023",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
15,15,Taiwan,青葉咖啡莊園,"The 2022 Pacific Rim Coffee Summit,T014",青葉咖啡莊園,,Taiwan Coffee Laboratory,1100,Chiayi,葉世遠,1,60 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"November 15th, 2022",Taiwan Coffee Laboratory 台灣咖啡研究室,SL34,Completed,Pulped natural / honey,8.17,8.08,8,7.92,8,7.92,10,10,10,8,0,86.08,10.2,0,0,green,0,"November 15th, 2023",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
16,16,Ethiopia,Halo Bariti Cooprative,CQU2023006,Halo Bariti Cooprative,,Coffee Quality Union,1900-2100,"Gedeb,Yirgacheffe,Sidamo",Halo Bariti Cooprative,8,5 kg,Japan Coffee Exchange,2022,"April 7th, 2023",Coffee Quality Union,"Wolishalo,Kurume,Dega",Completed,Washed / Wet,8.17,8.08,7.92,8.17,7.75,7.92,10,10,10,8.08,0,86.08,11.3,0,2,green,2,"April 6th, 2024",Japan Coffee Exchange,"〒413-0002 静岡県熱海市伊豆山１１７３−５８ 1173-58 Izusan, Atami, Shizuoka, 413-0002 JAPAN",松澤　宏樹　Koju Matsuzawa - +81(0)9085642901
17,17,Taiwan,東璧咖啡莊園,202203,yes,non,Dongbi coffee,1300,"Shibi, Gukeng Township, Yunlin County 郵遞區號 , Taiwan (R.O.C.)",陳景立,5,2 kg,Blossom Valley International宸嶧國際,2022,"October 24th, 2022",Dongbi,Gesha,Completed,Natural / Dry,8,8.17,8,7.92,7.92,7.92,10,10,10,8.17,0,86.08,10.3,0,0,yellow-green,0,"October 24th, 2023",Blossom Valley International宸嶧國際,No.72 Mo-Fan St. Taiwan Zip: 403,Damon Chen陳嘉峻 - +886423022323
18,18,Taiwan,櫻桃果古坑咖啡莊園,202112,yes,non,宸嶧國際有限公司,1200,"Gukeng Township, Yunlin County",王瀅惠,8,1 kg,Blossom Valley International宸嶧國際,2021 / 2022,"October 24th, 2022",王瀅惠,Gesha,Completed,Natural / Dry,8.08,8.17,7.75,7.92,7.83,8,10,10,10,8.17,0,85.92,11,0,0,brownish,1,"October 24th, 2023",Blossom Valley International宸嶧國際,No.72 Mo-Fan St. Taiwan Zip: 403,Damon Chen陳嘉峻 - +886423022323
19,19,"Tanzania, United Republic Of",BURKA,CN 4127230032/P-9140,GOURMET COFFEE MILL,033/DE/163/001,DORMAN (T) LIMITED,1570-1600,Arusha,DORMAN (T) LIMITED,200,30 kg,Kenya Coffee Traders Association,2022 / 2023,"February 1st, 2023",Gilbert Maina,Bourbon,Completed,Washed / Wet,8.17,8,7.92,7.92,8.17,7.75,10,10,10,7.92,0,85.83,10,0,0,greenish,0,"February 1st, 2024",Kenya Coffee Traders Association,"P.O. Box 646 00100Nairobi, Kenya, Denniss Pritt Road, Opposite St Georges Girls Secondary School",Benson Kibicho Kamau - +254 786 821 621
20,20,Guatemala,Finca Vista Hermosa,"The 2022 Pacific Rim Coffee Summit,GT03",El Vergel,,Taiwan Coffee Laboratory,1900,"Guatemala, Fraijanes, Santa Rosa",Fredy Orantes,8,30 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"November 15th, 2022",Carlos Pascual - 潘仕杰,Gesha,Completed,Natural / Dry,8,7.92,8.08,7.92,7.75,8,10,10,10,8.08,0,85.75,11.6,0,0,yellowish,0,"November 15th, 2023",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
21,21,Taiwan,仲大叔咖啡莊園Uncle Chung.s Coffee Farm,2022/03,仲大叔咖啡莊園Uncle Chung.s Coffee Farm,,Taiwan Coffee Laboratory,850,卓溪鄉Zhuoxi Township,游婷淯 YU TING YU,1,20 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2022,"December 12th, 2022",Yu Ting Yu 游婷淯,Typica,Completed,Natural / Dry,8.08,8,7.92,7.92,8,7.83,10,10,10,7.92,0,85.67,10.4,0,0,green,0,"December 12th, 2023",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
22,22,Thailand,Hom Doi,1,Machines to peel outer skin of the cherry coffee and coffee is dried manually,,Lyrose,1500-1700,Chiang Mai,Lisu farmers,2,1 kg,FABB Academy of Coffee,2021 / 2022,"August 16th, 2022",Christian Charmette,Catimor,Completed,Pulped natural / honey,7.67,8,7.83,8,8.08,8,10,10,10,8.08,0,85.67,9.8,0,0,browish-green,5,"August 16th, 2023",FABB Academy of Coffee,"FABB ACADEMY OF COFFEE 259/313 SUKHUMVIT 71 RD., SOI PRIDI BANOMYONG 15, VHADANA BKK, 10110 THAILAND",Janejira Kamonsawedkun - +(66) 095 095 9593
23,23,Colombia,El Diamante,CQU2023005,El Diamante,,Coffee Quality Union,1350,Quindio,Farm Bedoya Arango,6,5 kg,Japan Coffee Exchange,2022,"April 7th, 2023",Coffee Quality Union,Castillo Paraguaycito,Completed,,8.08,8,7.83,8.17,7.75,7.83,10,10,10,8,0,85.67,11.3,0,0,brownish,2,"April 6th, 2024",Japan Coffee Exchange,"〒413-0002 静岡県熱海市伊豆山１１７３−５８ 1173-58 Izusan, Atami, Shizuoka, 413-0002 JAPAN",松澤　宏樹　Koju Matsuzawa - +81(0)9085642901
24,24,Taiwan,永舜咖啡莊園,"The 2022 Pacific Rim Coffee Summit, T003",永舜咖啡莊園,,Taiwan Coffee Laboratory,1250,Yunlin,蘇甘永,4,50 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"November 15th, 2022",Taiwan Coffee Laboratory 台灣咖啡研究室,SL34,Completed,Washed / Wet,7.83,8,7.92,8,8,7.92,10,10,10,7.92,0,85.58,10.6,0,0,bluish-green,0,"November 15th, 2023",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
25,25,Brazil,Fazenda Recreio,Arara 1,Dry mill,,"WIT wealth, investments & trust",1250,Região Vulcânica,Diogo T. Dias de Macedo,25,60 kg,Brazil Specialty Coffee Association,2022,"January 6th, 2023",Andre Clark,,Completed,Pulped natural / honey,7.83,8.08,7.83,7.92,8,7.83,10,10,10,8,0,85.5,11.3,2,0,green,3,"January 6th, 2024",Brazil Specialty Coffee Association,"Rua Gaspar Batista Paiva, 416 – Santa Luiza Varginha/MG – Brazil",Chris Allen - 55 35 3212-4705
26,26,Taiwan,鄒築園ZouZhouYuan,"The 2022 Pacific Rim Coffee Summit,T024",鄒築園ZouZhouYuan,,Taiwan Coffee Laboratory,1300,Chiayi,方政倫,1,100 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"November 15th, 2022","Fang, Cheng Lun 方政倫",Gesha,Completed,Natural / Dry,7.92,7.92,8,7.92,7.83,7.92,10,10,10,8,0,85.5,9.1,0,0,green,2,"November 15th, 2023",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
27,27,Taiwan,嵩岳咖啡莊園,"The 2022 Pacific Rim Coffee Summit,T048",嵩岳咖啡莊園,,Taiwan Coffee Laboratory,1200,Yunlin,郭志豪,1,90 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"November 15th, 2022","Jhih Hao,GUO 郭志豪",Gesha,Completed,Natural / Dry,8.17,8.08,7.92,8,7.58,7.83,10,10,10,7.92,0,85.5,10.6,0,0,green,0,"November 15th, 2023",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
28,28,Taiwan,他扶芽有機農園,"The 2022 Pacific Rim Coffee Summit,T045",他扶芽有機農園,,Taiwan Coffee Laboratory,1060,Chiayi,陳清龍,1,85 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"November 15th, 2022",Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Completed,Natural / Dry,8,8,8,7.92,7.75,7.92,10,10,10,7.92,0,85.5,10.2,0,0,blue-green,0,"November 15th, 2023",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
29,29,United States (Hawaii),Hokukano Ranch,"The 2022 Pacific Rim Coffee Summit,US01",Kona Coffee & Tea,,Taiwan Coffee Laboratory,600,Kona,Kona Hills LLC,80,15 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2021 / 2022,"November 15th, 2022",Taiwan Coffee Laboratory 台灣咖啡研究室,Typica,Completed,Washed / Wet,8,7.92,8,7.83,7.67,8,10,10,10,8,0,85.42,9.3,0,0,green,0,"November 15th, 2023",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
30,30,Taiwan,鄉庭有機農場Siang-Ting Organic Farm,2022/3/1(老叢),鄉庭有機農場Siang-Ting Organic Farm,,Taiwan Coffee Laboratory,150-250,壽豐鄉Shoufeng Township,張進義Zhang Jin-Yi,3,48 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2022,"December 12th, 2022",Zhang Jin Yi 張進義,Typica,Completed,Washed / Wet,8,8,7.83,7.83,7.75,7.92,10,10,10,8.08,0,85.42,11.4,0,0,bluish-green,0,"December 12th, 2023",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
